41,429,431,432.6,0.47,433,437.0,0.93,432,435.45,0.7,433,435.18,0.93,433,436.0,0.93,431,436.36,0.47
42,512,528,535.71,3.12,538,541.78,5.08,536,541.78,4.69,537,543.14,4.88,537,540.89,4.88,537,542.0,4.88
43,516,526,530.67,1.94,531,540.0,2.91,537,540.38,4.07,536,539.67,3.88,530,538.33,2.71,535,541.38,3.68
44,494,503,511.56,1.82,513,519.38,3.85,514,521.0,4.05,519,521.75,5.06,512,516.89,3.64,512,518.56,3.64
45,512,520,530.73,1.56,536,541.22,4.69,534,541.56,4.3,533,539.78,4.1,526,536.33,2.73,533,539.56,4.1
46,560,565,570.71,0.89,569,576.0,1.61,574,577.71,2.5,575,577.57,2.68,574,578.88,2.5,573,578.43,2.32
47,430,436,437.8,1.4,438,442.57,1.86,440,443.5,2.33,443,443.0,3.02,440,441.67,2.33,439,442.33,2.09
48,492,497,501.83,1.02,498,504.0,1.22,498,503.83,1.22,501,505.5,1.83,502,505.17,2.03,502,504.5,2.03
49,641,664,672.0,3.59,677,679.67,5.62,682,684.33,6.4,684,687.33,6.71,685,686.0,6.86,680,683.8,6.08
410,514,520,522.64,1.17,527,529.0,2.53,524,528.33,1.95,528,528.5,2.72,525,528.6,2.14,525,525.67,2.14
51,253,261,263.6,3.16,261,264.27,3.16,259,265.09,2.37,263,265.18,3.95,261,265.09,3.16,259,264.0,2.37
52,302,318,323.73,5.3,326,328.6,7.95,330,330.6,9.27,327,329.67,8.28,323,327.0,6.95,325,329.33,7.62
53,226,230,231.0,1.77,232,233.0,2.65,230,232.0,1.77,232,232.5,2.65,232,232.67,2.65,232,233.17,2.65
54,242,246,248.92,1.65,249,251.33,2.89,250,251.5,3.31,250,251.5,3.31,249,251.17,2.89,247,249.17,2.07
55,211,214,215.7,1.42,215,217.0,1.9,217,218.0,2.84,218,218.0,3.32,216,217.33,2.37,217,217.6,2.84
56,213,220,221.25,3.29,227,227.33,6.57,218,221.67,2.35,221,225.25,3.76,227,227.5,6.57,224,226.5,5.16
57,293,303,304.33,3.41,309,310.67,5.46,310,310.67,5.8,309,311.0,5.46,309,310.0,5.46,304,311.15,3.75
58,288,292,293.8,1.39,296,297.0,2.78,292,296.0,1.39,295,296.5,2.43,292,296.0,1.39,295,296.86,2.43
59,279,284,285.22,1.79,285,286.67,2.15,286,287.67,2.51,287,288.0,2.87,283,285.67,1.43,287,288.0,2.87
510,265,269,272.82,1.51,273,276.17,3.02,279,279.0,5.28,275,277.33,3.77,276,278.0,4.15,275,277.33,3.77
61,138,141,142.6,2.17,144,144.91,4.35,144,145.45,4.35,144,145.55,4.35,143,144.73,3.62,143,144.82,3.62
62,146,149,151.58,2.05,151,154.67,3.42,152,155.17,4.11,153,155.0,4.79,152,154.67,4.11,154,155.4,5.48
63,145,147,147.91,1.38,147,149.5,1.38,149,149.67,2.76,149,149.67,2.76,147,149.33,1.38,147,149.5,1.38
64,131,131,132.58,0.0,133,134.0,1.53,132,133.4,0.76,133,134.0,1.53,134,134.17,2.29,131,133.5,0.0
65,161,168,171.71,4.35,176,178.0,9.32,171,176.67,6.21,170,175.67,5.59,175,178.5,8.7,173,176.67,7.45
a1,253,262,263.4,3.56,263,265.0,3.95,264,265.45,4.35,261,264.73,3.16,263,265.36,3.95,261,264.67,3.16
a2,252,259,263.83,2.78,267,268.8,5.95,266,269.0,5.56,267,269.2,5.95,267,270.2,5.95,267,269.8,5.95
a3,232,241,243.0,3.88,244,245.17,5.17,243,244.83,4.74,244,245.33,5.17,245,245.6,5.6,243,244.86,4.74
a4,234,244,244.33,4.27,244,245.33,4.27,244,247.0,4.27,246,247.0,5.13,246,247.33,5.13,240,246.75,2.56
a5,236,241,242.33,2.12,247,248.0,4.66,244,245.6,3.39,246,247.0,4.24,241,244.33,2.12,246,246.5,4.24
b1,69,69,70.0,0.0,70,71.27,1.45,70,71.09,1.45,69,71.0,0.0,70,71.18,1.45,70,71.36,1.45
b2,76,76,77.09,0.0,78,78.83,2.63,77,78.33,1.32,78,78.5,2.63,76,78.17,0.0,77,78.33,1.32
b3,80,81,81.27,1.25,81,81.83,1.25,82,82.17,2.5,82,82.0,2.5,82,82.0,2.5,82,82.0,2.5
b4,79,81,82.0,2.53,80,82.5,1.27,83,83.33,5.06,82,82.83,3.8,83,83.2,5.06,80,82.6,1.27
b5,72,72,72.2,0.0,73,73.67,1.39,73,73.83,1.39,74,74.0,2.78,73,73.67,1.39,73,73.75,1.39
c1,227,237,239.25,4.41,242,244.09,6.61,241,245.64,6.17,242,245.82,6.61,242,245.18,6.61,238,245.2,4.85
c2,219,234,234.0,6.85,237,238.33,8.22,238,238.0,8.68,233,236.33,6.39,233,236.67,6.39,236,237.14,7.76
c3,243,252,253.33,3.7,256,258.67,5.35,258,258.67,6.17,253,256.67,4.12,256,258.83,5.35,254,258.0,4.53
c4,219,227,228.86,3.65,230,231.75,5.02,231,232.17,5.48,230,231.5,5.02,228,230.8,4.11,229,231.43,4.57
c5,215,223,223.0,3.72,225,228.0,4.65,227,227.33,5.58,228,228.67,6.05,226,228.0,5.12,225,228.1,4.65
d1,60,62,62.6,3.33,63,64.45,5.0,63,64.18,5.0,63,64.27,5.0,64,64.45,6.67,63,64.2,5.0
d2,66,67,67.83,1.52,68,68.67,3.03,68,68.67,3.03,68,68.67,3.03,68,68.75,3.03,68,68.83,3.03
d3,72,74,75.17,2.78,76,76.67,5.56,75,76.33,4.17,76,76.67,5.56,77,77.33,6.94,76,77.29,5.56
d4,62,62,62.67,0.0,62,63.0,0.0,62,62.67,0.0,62,62.33,0.0,63,63.0,1.61,62,63.17,0.0
d5,61,61,62.57,0.0,63,64.6,3.28,64,64.6,4.92,64,64.75,4.92,63,64.8,3.28,63,64.33,3.28
,,259.73,262.26,2.27,263.4,265.83,3.72,263.62,265.98,3.79,264.07,266.08,3.93,263.31,265.77,3.78,262.96,265.86,3.48
