41,429,448,458.6,4.43,435,440.4,1.4,435,443.0,1.4,440,445.27,2.56,441,444.91,2.8,438,444.18,2.1
42,512,573,605.78,11.91,548,552.89,7.03,537,551.11,4.88,547,552.67,6.84,552,556.89,7.81,538,550.38,5.08
43,516,557,598.83,7.95,548,552.67,6.2,543,554.44,5.23,540,555.0,4.65,535,550.22,3.68,536,545.0,3.88
44,494,533,557.06,7.89,519,531.22,5.06,530,533.78,7.29,518,531.33,4.86,512,532.56,3.64,523,533.44,5.87
45,512,563,591.5,9.96,540,549.22,5.47,537,551.67,4.88,544,552.56,6.25,541,552.67,5.66,546,552.11,6.64
46,560,594,635.22,6.07,578,587.33,3.21,577,589.89,3.04,577,588.22,3.04,584,592.56,4.29,568,587.67,1.43
47,430,449,483.44,4.42,440,448.11,2.33,442,448.25,2.79,447,450.5,3.95,447,452.88,3.95,449,452.33,4.42
48,492,515,565.67,4.67,507,514.6,3.05,512,516.0,4.07,509,513.0,3.46,508,515.83,3.25,508,513.83,3.25
49,641,713,759.75,11.23,689,695.67,7.49,696,700.83,8.58,692,696.83,7.96,688,694.83,7.33,695,700.67,8.42
410,514,557,580.0,8.37,533,538.0,3.7,530,537.83,3.11,534,537.5,3.89,533,536.83,3.7,531,536.67,3.31
51,253,287,291.8,13.44,263,268.82,3.95,271,274.7,7.11,264,271.36,4.35,268,274.09,5.93,271,273.55,7.11
52,302,346,366.92,14.57,333,334.5,10.26,334,336.0,10.6,332,336.5,9.93,328,334.5,8.61,334,336.67,10.6
53,226,246,258.17,8.85,233,235.5,3.1,231,235.67,2.21,235,236.17,3.98,236,236.83,4.42,234,236.83,3.54
54,242,257,276.5,6.2,255,256.0,5.37,253,255.67,4.55,253,255.17,4.55,252,256.17,4.13,251,254.67,3.72
55,211,227,237.92,7.58,216,221.0,2.37,218,221.0,3.32,218,222.33,3.32,221,222.0,4.74,219,222.17,3.79
56,213,244,258.58,14.55,223,230.67,4.69,221,230.17,3.76,231,232.8,8.45,228,233.2,7.04,227,230.4,6.57
57,293,323,342.75,10.24,317,319.6,8.19,310,314.4,5.8,313,317.33,6.83,317,321.17,8.19,316,318.33,7.85
58,288,320,333.3,11.11,298,299.33,3.47,300,301.8,4.17,298,301.83,3.47,298,300.0,3.47,297,301.17,3.12
59,279,312,326.92,11.83,290,293.67,3.94,291,294.4,4.3,289,293.5,3.58,292,293.67,4.66,286,291.67,2.51
